#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
israelite;Semitic;;;;;;;;;;;;;x
central_germanic;Germani;;;;;;;;;;;;;x
maghreb_arabic;Berber;;;;;;;;;;;;;x
welsh;Briton;;;;;;;;;;;;;x
pommeranian;Wendish;;;;;;;;;;;;;x
orthodox_DESC;When the Roman Emperor Constantine I ended centuries of persecution and began embracing early Christianity, one of his major projects was to seek theological conformity within Christendom. To this end, he convened the First Council of Nicaea in 325. After much debate, this council produced the Nicene Creed, outlining explicitly some of the central tenets of mainstream Christianity. This form of Christianity, embraced by the Roman Empire in the 4th and 5th centuries, is thus called 'Orthodox' Christianity due to its nature as the 'mainstream' form of Christianity within the Roman world. 'Nicene', in reference to the Council of Nicaea, is also sometimes used.;;;;;;;;;;;;;x
world_europe_west_francia;Gaul;;;;;;;;;;;;;x
BM_CHARLEMAGNE;The Goths;;;;;;;;;;;;;x
BM_BM_CHARLEMAGNE_DESC;Two distinct branches of the Goths invaded the Roman world in the late 4th and early 5th centuries. The Visigoths attempted to migrate into lands of the Eastern Roman Empire, and were utterly destroyed in Egypt. The Ostrogoths had better luck striking west, and successfully captured the Gallo-Roman city of Lugdunum in AD 402. From Lugdunum, the Goths gradually conquered much of old Gaul over the course of the 5th century, and succeeded in making themselves a permanent fixture in Western Europe. By the middle of the 8th century, the Goths had been settled in Gaul for a little over 300 years, yet still retained many elements of their Germanic, Migration Age culture. Established as they are in the middle of old Roman territory, however, it is only a matter of time before the Romantic ways of their neighbors begin to rub off on them...;;;;;;;;;;;;;x
BM_CHARLEMAGNE_ERA;The Goths;;;;;;;;;;;;;x
BM_CHARLEMAGNE_ERA_INFO;Two distinct branches of the Goths invaded the Roman world in the late 4th and early 5th centuries. The Visigoths attempted to migrate into lands of the Eastern Roman Empire, and were utterly destroyed in Egypt. The Ostrogoths had better luck striking west, and successfully captured the Gallo-Roman city of Lugdunum in AD 402. From Lugdunum, the Goths gradually conquered much of old Gaul over the course of the 5th century, and succeeded in making themselves a permanent fixture in Western Europe. By the middle of the 8th century, the Goths had been settled in Gaul for a little over 300 years, yet still retained many elements of their Germanic, Migration Age culture. Established as they are in the middle of old Roman territory, however, it is only a matter of time before the Romantic ways of their neighbors begin to rub off on them...;;;;;;;;;;;;;x
BM_THE_OLD_GODS;The Romans;;;;;;;;;;;;;x
BM_THE_OLD_GODS_DESC;Both the Western and Eastern Roman Empires survived into the Middle Ages, but only just. Both endured significant losses, and underwent significant cultural shifts. The Western Empire, having been driven out of Italy itself by a faction of zealous senators who moved to establish the Pope as head of the realm, retreated to Hispania, where over the centuries it gradually adjusted to the provincial characteristics and Vulgar Latin of the region. The Eastern Empire was nearly overrun by Sassanids in the 5th century, and in its struggle to compensate for loss manpower and military might it drew in massive numbers of Slavic tribes as foederati, who later simply seized the Byzantine state for themselves.;;;;;;;;;;;;;x
BM_THE_OLD_GODS_ERA;The Romans;;;;;;;;;;;;;x
BM_FATE_OF_ENGLAND;The Orient;;;;;;;;;;;;;x
BM_FATE_OF_ENGLAND_DESC;The Middle East in the Early Middle Ages was a chaotic land. The old wars of the Eastern Roman Empire and Sassanid Persia had seen both empires so exhausted that Islam was able to wedge itself between them- but the Caliphs were never able to fully capitalize on their foes' weaknesses, and both Christian Byzantium and Zoroastrian Persia, although scarred, managed to totter out of antiquity and into the Medieval Era.;;;;;;;;;;;;;x
BM_FATE_OF_ENGLAND_ERA;The Orient;;;;;;;;;;;;;x
BM_FATE_OF_ENGLAND_ERA_INFO;The Middle East in the Early Middle Ages was a chaotic land. The old wars of the Eastern Roman Empire and Sassanid Persia had seen both empires so exhausted that Islam was able to wedge itself between them- but the Caliphs were never able to fully capitalize on their foes' weaknesses, and both Christian Byzantium and Zoroastrian Persia, although scarred, managed to totter out of antiquity and into the Medieval Era.;;;;;;;;;;;;;x
BM_THE_MONGOLS;The Northerners;;;;;;;;;;;;;x
BM_THE_MONGOLS_DESC;Northern Europe in the 8th century was just as culturally and religiously fractured as the Middle East. Unlike the Middle East, however, Northern Europe had no empires poised to step in and assert uniformity. The Romano-British in the 5th century had tried to establish an imperial 'Britannia' in the Isles and in northern Gaul, but the expanding Ostrogoths pushed them back across the Channel and introduced Arianism in southern Britain, shattering the political and religious unity of the fledgling state. In Scandinavia to the northeast, Norsemen struggled to even reached the unity of post-collapse Britain.;;;;;;;;;;;;;x
BM_THE_MONGOLS_ERA;The Northerners;;;;;;;;;;;;;x
BM_THE_MONGOLS_ERA_INFO;Northern Europe in the 8th century was just as culturally and religiously fractured as the Middle East. Unlike the Middle East, however, Northern Europe had no empires poised to step in and assert uniformity. The Romano-British in the 5th century had tried to establish an imperial 'Britannia' in the Isles and in northern Gaul, but the expanding Ostrogoths pushed them back across the Channel and introduced Arianism in southern Britain, shattering the political and religious unity of the fledgling state. In Scandinavia to the northeast, Norsemen struggled to even reached the unity of post-collapse Britain.;;;;;;;;;;;;;x
BM_100_YEARS_WAR;The Steppes;;;;;;;;;;;;;x
